Pid, Money, HandNum, ShowDownNum, NetWin, NutHand, Rank, Status
2222, -, -, -, -, -, -, UNREGISTERED
3333, -, -, -, -, -, -, UNREGISTERED
4444, -, -, -, -, -, -, UNREGISTERED
5555, -, -, -, -, -, -, UNREGISTERED
6666, -, -, -, -, -, -, UNREGISTERED
7777, -, -, -, -, -, -, UNREGISTERED
8888, -, -, -, -, -, -, UNREGISTEREDPid, Money, HandNum, ShowDownNum, NetWin, NutHand, Rank, Status
2222, -, -, -, -, -, -, UNREGISTERED
3333, -, -, -, -, -, -, UNREGISTERED
4444, -, -, -, -, -, -, UNREGISTERED
5555, -, -, -, -, -, -, UNREGISTERED
6666, -, -, -, -, -, -, UNREGISTERED
7777, -, -, -, -, -, -, UNREGISTERED
8888, -, -, -, -, -, -, UNREGISTEREDPid, Money, HandNum, ShowDownNum, NetWin, NutHand, Rank, Status
2222, -, -, -, -, -, -, UNREGISTERED
3333, -, -, -, -, -, -, UNREGISTERED
4444, -, -, -, -, -, -, UNREGISTERED
5555, -, -, -, -, -, -, UNREGISTERED
6666, -, -, -, -, -, -, UNREGISTERED
7777, -, -, -, -, -, -, UNREGISTERED
8888, -, -, -, -, -, -, UNREGISTEREDPid, Money, HandNum, ShowDownNum, NetWin, NutHand, Rank, Status
2222, -, -, -, -, -, -, UNREGISTERED
3333, -, -, -, -, -, -, UNREGISTERED
4444, -, -, -, -, -, -, UNREGISTERED
5555, -, -, -, -, -, -, UNREGISTERED
6666, -, -, -, -, -, -, UNREGISTERED
7777, -, -, -, -, -, -, UNREGISTERED
8888, -, -, -, -, -, -, UNREGISTEREDPid, Money, HandNum, ShowDownNum, NetWin, NutHand, Rank, Status
2222, -, -, -, -, -, -, UNREGISTERED
3333, -, -, -, -, -, -, UNREGISTERED
4444, -, -, -, -, -, -, UNREGISTERED
5555, -, -, -, -, -, -, UNREGISTERED
6666, -, -, -, -, -, -, UNREGISTERED
7777, -, -, -, -, -, -, UNREGISTERED
8888, -, -, -, -, -, -, UNREGISTEREDPid, Money, HandNum, ShowDownNum, NetWin, NutHand, Rank, Status
2222, -, -, -, -, -, -, UNREGISTERED
3333, -, -, -, -, -, -, UNREGISTERED
4444, -, -, -, -, -, -, UNREGISTERED
5555, -, -, -, -, -, -, UNREGISTERED
6666, -, -, -, -, -, -, UNREGISTERED
7777, -, -, -, -, -, -, UNREGISTERED
8888, -, -, -, -, -, -, UNREGISTEREDPid, Money, HandNum, ShowDownNum, NetWin, NutHand, Rank, Status
2222, -, -, -, -, -, -, UNREGISTERED
3333, -, -, -, -, -, -, UNREGISTERED
4444, -, -, -, -, -, -, UNREGISTERED
5555, -, -, -, -, -, -, UNREGISTERED
6666, -, -, -, -, -, -, UNREGISTERED
7777, -, -, -, -, -, -, UNREGISTERED
8888, -, -, -, -, -, -, UNREGISTEREDPid, Money, HandNum, ShowDownNum, NetWin, NutHand, Rank, Status
2222, -, -, -, -, -, -, UNREGISTERED
3333, -, -, -, -, -, -, UNREGISTERED
4444, -, -, -, -, -, -, UNREGISTEREDPid, Money, HandNum, ShowDownNum, NetWin, NutHand, Rank, Status
2222, -, -, -, -, -, -, UNREGISTERED
3333, -, -, -, -, -, -, UNREGISTERED
4444, -, -, -, -, -, -, UNREGISTEREDPid, Money, HandNum, ShowDownNum, NetWin, NutHand, Rank, Status
1111, 10000, 0, 0, 0, NULL, 1, NORMAL
2222, -, -, -, -, -, -, UNREGISTERED
3333, -, -, -, -, -, -, UNREGISTERED
4444, -, -, -, -, -, -, UNREGISTEREDPid, Money, HandNum, ShowDownNum, NetWin, NutHand, Rank, Status
1111, -, -, -, -, -, -, UNREGISTERED
2222, -, -, -, -, -, -, UNREGISTERED
3333, -, -, -, -, -, -, UNREGISTERED
4444, -, -, -, -, -, -, UNREGISTEREDPid, Money, HandNum, ShowDownNum, NetWin, NutHand, Rank, Status
1111, 10000, 0, 0, 0, NULL, 1, NORMAL
2222, -, -, -, -, -, -, UNREGISTERED
3333, -, -, -, -, -, -, UNREGISTERED
4444, -, -, -, -, -, -, UNREGISTEREDPid, Money, HandNum, ShowDownNum, NetWin, NutHand, Rank, Status
1111, 10000, 0, 0, 0, NULL, 1, NORMAL
2222, -, -, -, -, -, -, UNREGISTERED
3333, -, -, -, -, -, -, UNREGISTERED
4444, -, -, -, -, -, -, UNREGISTEREDPid, Money, HandNum, ShowDownNum, NetWin, NutHand, Rank, Status
